,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
disappointment,-0.21442694218972075,-0.056065378012875186,0.10585993623443232,0.32601213820308755,-0.20010719959539466,-0.17620025895810248,0.036358087637464336,-0.04320029624725917,0.016460734625072387,1.0,0.1754701029613332,0.17452196879376386,0.20647596972828686,-0.0992541630979568,-0.04117814545891467,-0.22356373727681997,0.3689006804341216,-0.11664490709629324,-0.12527866887376,0.017387359928795948,-0.10205345393298243,-0.03027647105531912,0.07332768962515405,-0.07352198426543566,0.1231330668039831,0.561635724943188,-0.030792217849803627,-0.13780260907636596
disapproval,-0.08799695183505277,-0.005166614987026089,0.11218002236826571,0.2732107909083116,-0.07174524177249139,-0.0405844255071452,0.05781287422870138,-0.022276168016729582,-0.028860482083208377,0.1754701029613332,1.0,0.14797187064081316,0.03387145210527272,-0.05404583208402825,-0.02659837779550659,-0.10626418153278898,-0.027249098791187688,-0.05493816436665361,-0.04141818671730065,-0.03497360158050371,-0.05350071584313869,-0.01660249307047567,0.014843255941283256,-0.04175717221558136,-0.004825568040843181,-0.018624464316413788,-0.01668422439804494,0.014832859796033802
disgust,-0.08185875580174647,-0.0037067258706216465,0.25766610259178935,0.4124277422887129,-0.08235576270593394,-0.08257650620312804,0.0018670787476980282,-0.022382389497807215,-0.030368532350751418,0.17452196879376386,0.14797187064081316,1.0,0.17611436114635967,-0.034825090478232935,0.1096576562942971,-0.08004360056377614,0.01148603470052804,-0.048174671424248305,-0.05476186012975112,0.023964881719613633,-0.0524992613663362,-0.002033050484094185,-0.01631386860782559,-0.03970548361790201,0.004613876056065522,0.028791488431066777,-0.011659012891014967,-0.07173406490970437
embarrassment,-0.0940997615547113,0.013155300245430178,0.03511669554804429,0.17609457796656205,-0.09633457301796124,-0.08264212571562203,0.09224291345781957,0.011661746343409558,-0.033719560189686276,0.20647596972828686,0.03387145210527272,0.17611436114635967,1.0,-0.02453243028553263,0.09969307305317036,-0.08489182124749624,0.06259631352880386,-0.04792609115351854,-0.0585940956282691,0.12215572010363782,-0.045800887919796224,0.014190581458762602,0.13684443515060352,-0.0065106562599878725,0.14179619150811681,0.04007270982963941,0.022993754761286917,-0.0804206030412084
excitement,0.07086134917552957,0.008112893668444069,-0.029752026771564407,-0.0518221281831599,-0.012631763459821943,-0.06016150561850629,-0.031191847137175654,0.017727816009806194,-0.003332014402924932,-0.0992541630979568,-0.05404583208402825,-0.034825090478232935,-0.02453243028553263,1.0,-0.006280556062573186,-0.03429619498666138,-0.0439145236743674,0.20177376401113856,0.00967163888689501,0.056729046305023345,-0.020744022124282866,0.1021663445670354,-0.0077657214880355865,0.13955303790025347,-0.04209010228547004,-0.09891750288805565,0.25838174468929603,-0.054835144677547
fear,-0.1321343110553809,-0.01937616695856955,-0.0071742219790496544,-0.0027910887778233736,-0.12972287327117657,-0.10324186709352037,0.043437749959027605,0.006700321251926519,-0.048800948937599925,-0.04117814545891467,-0.02659837779550659,0.1096576562942971,0.09969307305317036,-0.006280556062573186,1.0,-0.12640080521550157,0.05149167934039276,-0.06658444041352603,-0.07593763467913935,0.6486933149119476,-0.08024989696455183,-0.024381441751411805,0.0036420042897455903,-0.04013510873947953,-0.03503232421669858,-0.017135161759671107,0.004860009654783322,-0.1198937808499278
gratitude,0.13375353549305852,-0.03914187115390364,-0.08187386272517198,-0.15202181856901104,-0.17741560940396683,-0.16819091800578306,-0.08551075253359021,-0.09804708011812284,-0.0779233839426826,-0.22356373727681997,-0.10626418153278898,-0.08004360056377614,-0.08489182124749624,-0.03429619498666138,-0.12640080521550157,1.0,-0.1438000349413323,-0.020810288959135514,-0.019295627052416255,-0.13863187317368553,-0.0979112227330285,0.02227860818318154,-0.11292509448797786,-0.01002008592409026,-0.04260786260119689,-0.1975253242361014,-0.04148387813477632,-0.2714184488920612
grief,-0.1937695270330353,-0.05779997325931999,0.01337492689616996,-0.007791170829002764,-0.21061613962726783,-0.022652317714638208,-0.06231581842940306,-0.06621876165208695,0.058712793261212703,0.3689006804341216,-0.027249098791187688,0.01148603470052804,0.06259631352880386,-0.0439145236743674,0.05149167934039276,-0.1438000349413323,1.0,-0.044968339900376936,-0.05080246566775525,0.18286189615208667,-0.07322656152491486,0.06505569396150088,0.006056793421849632,0.05775244813961076,0.3135988845463427,0.7904330377132388,-0.01591526691869817,-0.20655680360364712
joy,0.014141221747535565,0.07682928547193736,-0.05010508015254488,-0.07619267694792103,0.022582804020976576,-0.034760866082650485,-0.04844920933902129,-0.054401641820612294,-0.023960030782136005,-0.11664490709629324,-0.05493816436665361,-0.048174671424248305,-0.04792609115351854,0.20177376401113856,-0.06658444041352603,-0.020810288959135514,-0.044968339900376936,1.0,0.03968267551581608,-0.05684571082873811,-0.014757380744659555,0.134456569203537,-0.0010244000221026719,0.4059017568768062,-0.029891886462550803,-0.09472137092741766,-0.015720537878541205,-0.10547161666089173
love,0.04448226700157016,-0.019517727319439807,-0.030721988079171737,-0.08108388305692951,-0.04660935932750702,0.048985133932094624,-0.04218223075559543,-0.042402012342499164,0.04711835815231607,-0.12527866887376,-0.04141818671730065,-0.05476186012975112,-0.0585940956282691,0.00967163888689501,-0.07593763467913935,-0.019295627052416255,-0.05080246566775525,0.03968267551581608,1.0,-0.08554985092141879,-0.027385671869127298,-0.03503215702492083,-0.08811338928734479,-0.081253638349109,-0.05294149302537117,-0.09741714762521231,-0.037407861331365394,-0.1302516301688215
nervousness,-0.1478041599969181,-0.022312532422050575,-0.013528839704855244,-0.016922218129062926,-0.11639924312207335,-0.07816626313023556,0.03116093436750999,0.006762693270918515,-0.051675218282225495,0.017387359928795948,-0.03497360158050371,0.023964881719613633,0.12215572010363782,0.056729046305023345,0.6486933149119476,-0.13863187317368553,0.18286189615208667,-0.05684571082873811,-0.08554985092141879,1.0,-0.07544191976709011,0.006668749879512272,0.07698490310295429,0.0864615155671042,0.008811351110498933,0.04349608145247971,-0.0020994903112964355,-0.11645744714927227
